2026-06-09 20:31:52.250 [info] Extension host with pid 26260 started
2026-06-09 20:31:52.260 [info] Lock '/config/data/User/workspaceStorage/-3eb7f34b/vscode.lock': Lock acquired.
2026-06-09 20:31:52.537 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-06-09 20:31:52.539 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-06-09 20:31:52.701 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2026-06-09 20:31:52.701 [info] ExtensionService#_doActivateExtension shubhamsharma.ariv-themes, startup: true, activationEvent: '*'
2026-06-09 20:31:52.724 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2026-06-09 20:31:52.752 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2026-06-09 20:31:52.752 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-06-09 20:31:53.037 [info] Eager extensions activated
2026-06-09 20:31:53.037 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:53.038 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:53.038 [info] ExtensionService#_doActivateExtension Continue.continue, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:53.039 [info] ExtensionService#_doActivateExtension eamodio.gitlens, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:53.039 [info] ExtensionService#_doActivateExtension Gruntfuggly.todo-tree, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:53.039 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:53.039 [info] ExtensionService#_doActivateExtension usernamehw.errorlens, startup: false, activationEvent: 'onStartupFinished'
2026-06-09 20:31:55.476 [info] ExtensionService#_doActivateExtension vscode.terminal-suggest, startup: false, activationEvent: 'onTerminalShellIntegration:*'
2026-06-09 20:31:57.620 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-09 20:31:57.620 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-09 20:31:57.621 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-09 20:37:28.536 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2026-06-09 20:58:24.060 [info] ExtensionService#_doActivateExtension hashicorp.terraform, startup: false, activationEvent: 'onView:terraform.cloud.workspaces'
2026-06-09 20:58:56.140 [info] ExtensionService#_doActivateExtension ms-azuretools.vscode-containers, startup: false, activationEvent: 'onView:vscode-containers.views.containers'
2026-06-09 20:58:58.456 [error] TypeError: Cannot read properties of undefined (reading 'includes')
	at up.handleMessage [as value] (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:857754:27)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at hc._receiveMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:13337)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:10642)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at qI.acceptChunk (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:6237)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:5370)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at iD._processReadQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:25308)
2026-06-09 21:08:22.744 [error] Error: Config validation fail: prop "host" fails because ["host" is required]. You might want to set a profile first.
	at t.default.getConfig (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259698)
	at t.default._disposeFileSystem (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:260982)
	at t.default.dispose (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259886)
	at t.disposeFileService (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:335054)
	at Array.forEach (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323601
	at Generator.next (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323254
	at new Promise (<anonymous>)
	at n (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:322999)
	at F (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323448)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:324925
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:669:134647)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E._deliverQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3333)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3667)
	at xw.$acceptModelSaved (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:558:112319)
	at i._doInvokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:111200)
	at i._invokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:110948)
	at i._receiveRequest (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:109730)
	at i._receiveOneMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:108568)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:106643)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:833:9944)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at hc._receiveMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:13337)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:10642)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at qI.acceptChunk (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:6237)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:5370)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at iD._processReadQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:25308)
2026-06-09 21:08:28.381 [error] Error: No autocomplete model configured and provided model not found in config
	at getAutocompleteContext (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821508:21)
	at async processNextEditData (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821625:35)
2026-06-09 21:08:32.718 [error] Error: Config validation fail: prop "host" fails because ["host" is required]. You might want to set a profile first.
	at t.default.getConfig (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259698)
	at t.default._disposeFileSystem (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:260982)
	at t.default.dispose (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259886)
	at t.disposeFileService (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:335054)
	at Array.forEach (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323601
	at Generator.next (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323254
	at new Promise (<anonymous>)
	at n (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:322999)
	at F (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323448)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:324925
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:669:134647)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E._deliverQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3333)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3667)
	at xw.$acceptModelSaved (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:558:112319)
	at i._doInvokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:111200)
	at i._invokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:110948)
	at i._receiveRequest (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:109730)
	at i._receiveOneMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:108568)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:106643)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:833:9944)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at hc._receiveMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:13337)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:10642)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at qI.acceptChunk (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:6237)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:5370)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at iD._processReadQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:25308)
2026-06-09 21:08:38.611 [error] Error: No autocomplete model configured and provided model not found in config
	at getAutocompleteContext (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821508:21)
	at async processNextEditData (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821625:35)
2026-06-09 21:08:42.512 [error] Error: No autocomplete model configured and provided model not found in config
	at getAutocompleteContext (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821508:21)
	at async processNextEditData (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821625:35)
2026-06-09 21:08:44.928 [error] Error: Config validation fail: prop "host" fails because ["host" is required]. You might want to set a profile first.
	at t.default.getConfig (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259698)
	at t.default._disposeFileSystem (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:260982)
	at t.default.dispose (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259886)
	at t.disposeFileService (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:335054)
	at Array.forEach (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323601
	at Generator.next (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323254
	at new Promise (<anonymous>)
	at n (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:322999)
	at F (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323448)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:324925
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:669:134647)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E._deliverQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3333)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3667)
	at xw.$acceptModelSaved (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:558:112319)
	at i._doInvokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:111200)
	at i._invokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:110948)
	at i._receiveRequest (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:109730)
	at i._receiveOneMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:108568)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:106643)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:833:9944)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at hc._receiveMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:13337)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:10642)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at qI.acceptChunk (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:6237)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:5370)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at iD._processReadQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:25308)
2026-06-09 21:09:02.962 [error] Error: No autocomplete model configured and provided model not found in config
	at getAutocompleteContext (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821508:21)
	at async processNextEditData (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821625:35)
2026-06-09 21:09:04.568 [error] Error: No autocomplete model configured and provided model not found in config
	at getAutocompleteContext (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821508:21)
	at async processNextEditData (/config/extensions/continue.continue-1.2.22-linux-x64/out/extension.js:821625:35)
2026-06-09 21:09:05.661 [error] Error: Config validation fail: prop "host" fails because ["host" is required]. You might want to set a profile first.
	at t.default.getConfig (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259698)
	at t.default._disposeFileSystem (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:260982)
	at t.default.dispose (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:259886)
	at t.disposeFileService (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:335054)
	at Array.forEach (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323601
	at Generator.next (<anonymous>)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323254
	at new Promise (<anonymous>)
	at n (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:322999)
	at F (/config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:323448)
	at /config/extensions/natizyskunk.sftp-1.16.3-universal/dist/extension.js:2:324925
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:669:134647)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E._deliverQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3333)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3667)
	at xw.$acceptModelSaved (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:558:112319)
	at i._doInvokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:111200)
	at i._invokeHandler (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:110948)
	at i._receiveRequest (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:109730)
	at i._receiveOneMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:108568)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:435:106643)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:833:9944)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at ls.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:8437)
	at hc._receiveMessage (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:13337)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:10642)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at qI.acceptChunk (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:6237)
	at up.value (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:5370)
	at E._deliver (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3244)
	at E.fire (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:431:3562)
	at iD._processReadQueue (file:///app/code-server/lib/vscode/out/vs/workbench/api/node/extensionHostProcess.js:433:25308)
